"rules","support","confidence","lift","count"
"{hair,milk,toothed,legs=4,catsize} => {type=mamifero}",0.242424242424242,1,2.475,24
"{hair,milk,breathes,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,milk,legs=4,tail,catsize} => {type=mamifero}",0.232323232323232,1,2.475,23
"{hair,milk,backbone,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,milk,predator,toothed,legs=4} => {type=mamifero}",0.161616161616162,1,2.475,16
"{hair,milk,predator,breathes,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
"{hair,milk,predator,legs=4,tail} => {type=mamifero}",0.151515151515152,1,2.475,15
"{hair,milk,predator,backbone,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
"{hair,milk,toothed,breathes,legs=4} => {type=mamifero}",0.303030303030303,1,2.475,30
"{hair,milk,toothed,legs=4,tail} => {type=mamifero}",0.272727272727273,1,2.475,27
"{hair,milk,toothed,backbone,legs=4} => {type=mamifero}",0.303030303030303,1,2.475,30
"{hair,milk,breathes,legs=4,tail} => {type=mamifero}",0.282828282828283,1,2.475,28
"{hair,milk,backbone,breathes,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{hair,milk,backbone,legs=4,tail} => {type=mamifero}",0.282828282828283,1,2.475,28
"{milk,predator,toothed,legs=4,catsize} => {type=mamifero}",0.141414141414141,1,2.475,14
"{milk,predator,breathes,legs=4,catsize} => {type=mamifero}",0.151515151515152,1,2.475,15
"{milk,predator,legs=4,tail,catsize} => {type=mamifero}",0.131313131313131,1,2.475,13
"{milk,predator,backbone,legs=4,catsize} => {type=mamifero}",0.151515151515152,1,2.475,15
"{milk,toothed,breathes,legs=4,catsize} => {type=mamifero}",0.242424242424242,1,2.475,24
"{milk,toothed,legs=4,tail,catsize} => {type=mamifero}",0.222222222222222,1,2.475,22
"{milk,toothed,backbone,legs=4,catsize} => {type=mamifero}",0.242424242424242,1,2.475,24
"{milk,breathes,legs=4,tail,catsize} => {type=mamifero}",0.232323232323232,1,2.475,23
"{milk,backbone,breathes,legs=4,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{milk,backbone,legs=4,tail,catsize} => {type=mamifero}",0.232323232323232,1,2.475,23
"{milk,predator,toothed,breathes,legs=4} => {type=mamifero}",0.161616161616162,1,2.475,16
"{milk,predator,toothed,legs=4,tail} => {type=mamifero}",0.141414141414141,1,2.475,14
"{milk,predator,toothed,backbone,legs=4} => {type=mamifero}",0.161616161616162,1,2.475,16
"{milk,predator,breathes,legs=4,tail} => {type=mamifero}",0.151515151515152,1,2.475,15
"{milk,predator,backbone,breathes,legs=4} => {type=mamifero}",0.171717171717172,1,2.475,17
